,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,wp_pop_density_log,wp_pop_density_log_minmax,count_cyclones_multiply_pop_density,boxcoxb,boxcoxb_log,boxcoxb_log_minmax
4651,152877,2023,4,16.25,-61.75,GLP,898.610048,231470.3962141192,257.5871444229824,16.5,-61.5,5.0,5.555232752893953,0.6111145588350484,3.0555727941752417,1.3391877335144293,0.6216111933851309,0.621611193385131
4653,155740,2023,4,18.25,-70.25,DOM,1464.422912,953019.162168774,650.7813790397552,18.5,-70.5,2.0,6.479709197477048,0.7128142624303537,1.4256285248607075,0.3752194984788885,0.48583313468250316,0.4858331346825033
4654,155743,2023,4,18.25,-68.75,DOM,1197.380096,194882.53430400975,162.7574526710771,18.5,-68.5,11.0,5.098386385974826,0.5608578536734371,6.1694363904078084,2.458339021183859,0.779247289380243,0.7792472893802432
4657,155746,2023,4,18.25,-67.25,PRI,1115.228032,380252.4526798872,340.9638583043501,18.5,-67.5,7.0,5.834705054005687,0.6418587171667176,4.493011020167023,1.9224840439510447,0.7037703743632977,0.7037703743632978
4659,155018,2023,4,17.75,-71.25,DOM,919.402176,27238.21887237915,29.626010883379887,17.5,-71.5,7.0,3.421849676757019,0.37642558674749027,2.634979107232432,1.1333479068443582,0.5926179848403315,0.5926179848403316
4661,155738,2023,4,18.25,-71.25,DOM,2598.356992,306459.3196112127,117.9435006639814,18.5,-71.5,3.0,4.778648596029468,0.5256841738504482,1.5770525215513445,0.48993698912855,0.5019914660605839,0.501991466060584
4662,155737,2023,4,18.25,-71.75,DOM,2551.311104,223799.8007565888,87.7195260137859,18.5,-71.5,3.0,4.48548000053219,0.4934333150641319,1.4802999451923957,0.41755913476016,0.4917968100521946,0.4917968100521947
4663,155739,2023,4,18.25,-70.75,DOM,1060.076992,151759.00287025457,143.15847246522878,18.5,-70.5,2.0,4.970913197696985,0.5468347971205454,1.0936695942410908,0.0908158659032567,0.4457739587515961,0.4457739587515962
4666,156457,2023,4,18.75,-71.75,DOM,2890.10048,368578.4465699669,127.53136062936017,18.5,-71.5,3.0,4.856172926149881,0.5342124618786263,1.6026373856358789,0.5085658754556551,0.5046154052417261,0.5046154052417262
4667,156458,2023,4,18.75,-71.25,DOM,2925.91488,208767.1985459196,71.35108405679922,18.5,-71.5,3.0,4.281530436473178,0.47099725372938694,1.4129917611881608,0.36527552344960934,0.4844324934827305,0.4844324934827306
4668,156459,2023,4,18.75,-70.75,DOM,2926.727936,189148.4507392116,64.6279582097827,18.5,-70.5,2.0,4.184001797378232,0.4602683338676349,0.9205366677352698,-0.08172590197803957,0.4214708900024707,0.4214708900024708
4671,157179,2023,4,19.25,-70.75,DOM,2917.932032,1242443.0527487043,425.7957481953796,19.5,-70.5,5.0,6.056305557324039,0.6662365210968222,3.331182605484111,1.4637410372703323,0.6391549310046093,0.6391549310046094
4676,157899,2023,4,19.75,-70.75,DOM,1920.155136,494128.5015980936,257.33780168796403,19.5,-70.5,5.0,5.5542680373922835,0.6110084325176626,3.055042162588313,1.3389406550131076,0.6215763915752399,0.62157639157524
4679,156460,2023,4,18.75,-70.25,DOM,2921.856512,839098.5907033673,287.1799444145214,18.5,-70.5,2.0,5.663585092020188,0.6230341711059327,1.2460683422118655,0.22781088105634734,0.46507015185565403,0.46507015185565415
4680,156463,2023,4,18.75,-68.75,DOM,2449.889024,405358.3469068045,165.4598812173806,18.5,-68.5,11.0,5.114754326737138,0.5626584563104716,6.189243019415188,2.4640342602290364,0.7800494823086989,0.7800494823086991
4681,157180,2023,4,19.25,-70.25,DOM,2915.496704,661286.3230249529,226.81772272892024,19.5,-70.5,5.0,5.428545847499237,0.5971779996035589,2.9858899980177944,1.3064867169411343,0.6170051489258332,0.6170051489258334
4682,157181,2023,4,19.25,-69.75,DOM,1883.595136,251637.5865438163,133.59430683081584,19.5,-69.5,9.0,4.90226511936821,0.5392829668285664,4.853546701457097,2.0480297765133417,0.7214538988054484,0.7214538988054485
4683,157900,2023,4,19.75,-70.25,DOM,1007.943936,115206.51348601589,114.2985332529605,19.5,-70.5,5.0,4.74752470605759,0.5222603003667918,2.6113015018339594,1.1211099295923437,0.5908942259722147,0.5908942259722149
6828,145662,2023,4,11.25,-69.25,VEN,2917.702656,59039.260283635485,20.23484475439141,11.5,-69.5,3.0,3.0556434529022214,0.33614001252976733,1.008420037589302,0.008395891652255903,0.4341648375218817,0.4341648375218818
6829,145663,2023,4,11.25,-68.75,VEN,2192.722944,28361.952204435995,12.93458085164999,11.5,-68.5,2.0,2.634373581662015,0.289797002613401,0.579594005226802,-0.5010612071692747,0.36240614946956234,0.3624061494695624
6830,145661,2023,4,11.25,-69.75,VEN,2790.897152,267974.3702835556,96.01728608720713,11.5,-69.5,3.0,4.574889169710996,0.5032690291674671,1.5098070875024012,0.43996723545534183,0.4949530638591394,0.4949530638591395
6834,147097,2023,4,12.25,-71.75,COL,2012.875904,50701.89022855596,25.188780951573236,12.5,-71.5,4.0,3.265331111104624,0.35920730949739843,1.4368292379895937,0.3839831271345909,0.4870675202595529,0.487067520259553
6835,147098,2023,4,12.25,-71.25,COL,1425.852672,27473.30717430053,19.267984493632547,12.5,-71.5,4.0,3.009042522546889,0.331013542480506,1.324054169922024,0.29350826662690027,0.47432384212302975,0.47432384212302986
6837,146381,2023,4,11.75,-69.75,VEN,846.418176,60335.59656207293,71.28343680804053,11.5,-69.5,3.0,4.280595013127674,0.4708943497803125,1.4126830493409375,0.3650318353238293,0.48439816921825296,0.48439816921825307
