,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,count_cyclones_multiply_pop_density,count_cyclones_multiply_pop_density_log,boxcoxb,boxcoxb_log,count_cyclones_multiply_pop_density_log_minmax,boxcoxb_log_minmax
6828,145662,2023,4,11.25,-69.25,VEN,2917.702656,59039.260283635485,20.23484475439141,11.5,-69.5,3.0,60.70453426317423,4.12235741707947,3.245525889009296,0.31828630051469314,0.33077721124604936,0.31828630051469314
6829,145663,2023,4,11.25,-68.75,VEN,2192.722944,28361.952204435995,12.93458085164999,11.5,-68.5,2.0,25.86916170329998,3.2909792239010516,2.3645503160237875,0.24273366193655257,0.2542625343075799,0.24273366193655257
6830,145661,2023,4,11.25,-69.75,VEN,2790.897152,267974.3702835556,96.01728608720713,11.5,-69.5,3.0,288.05185826162136,5.666606112366569,4.902027770813408,0.46034822801607517,0.47289988297601143,0.46034822801607517
6834,147097,2023,4,12.25,-71.75,COL,2012.875904,50701.89022855596,25.188780951573236,12.5,-71.5,4.0,100.75512380629294,4.622569179873446,3.779506778454411,0.3640806067190769,0.37681346976839636,0.3640806067190769
6835,147098,2023,4,12.25,-71.25,COL,1425.852672,27473.30717430053,19.267984493632547,12.5,-71.5,4.0,77.07193797453019,4.357630683373865,3.496344773240052,0.3397965774053902,0.35243024245432747,0.3397965774053902
6837,146381,2023,4,11.75,-69.75,VEN,846.418176,60335.59656207293,71.28343680804053,11.5,-69.5,3.0,213.8503104241216,5.3699415550611125,4.582047908240833,0.43290669200696436,0.44559679402374963,0.43290669200696436
6941,144193,2023,4,10.25,-83.75,CRI,3041.48992,290236.6739792594,95.42582142743363,10.5,-83.5,3.0,286.2774642823009,5.660448523236924,4.89537856565091,0.4597779908723009,0.47233317825986604,0.4597779908723009
6942,144194,2023,4,10.25,-83.25,CRI,1198.440064,78779.63351788935,65.73514678318477,10.5,-83.5,3.0,197.20544034955432,5.28930407030603,4.49520650746268,0.42545915637964093,0.43817544096711275,0.42545915637964093
6943,144913,2023,4,10.75,-83.75,CRI,2469.60256,28174.634427116856,11.408570303359605,10.5,-83.5,3.0,34.22571091007882,3.561776239556359,2.6505268191091207,0.2672590631417482,0.27918494186983944,0.2672590631417482
6951,145632,2023,4,11.25,-84.25,NIC,3031.433984,71229.70766698872,23.497034091107135,11.5,-84.5,5.0,117.48517045553568,4.774787808908901,3.942523852538428,0.3780609830859234,0.39082268882204674,0.3780609830859234
6952,145630,2023,4,11.25,-85.25,NIC,799.540672,19994.11874325316,25.007006451890867,11.5,-85.5,4.0,100.02802580756347,4.615397961593107,3.7718326345228452,0.36342247062468624,0.37615347717479986,0.36342247062468624
6953,145633,2023,4,11.25,-83.75,NIC,993.161792,8762.259393049424,8.822590099246815,11.5,-83.5,1.0,8.822590099246815,2.28468484514924,1.31174524652092,0.15244489190876803,0.1616497018722831,0.15244489190876803
6983,148503,2023,4,13.25,-88.75,SLV,1526.881792,236133.43375700875,154.6507627468052,13.5,-88.5,3.0,463.95228824041567,6.141934794388417,5.416247725941766,0.5044478326030908,0.5166460635264617,0.5044478326030908
6984,149220,2023,4,13.75,-90.25,GTM,1275.70304,128397.3145763822,100.6482782829946,13.5,-90.5,12.0,1207.779339395935,7.097366318982495,6.455075626472088,0.5935379178680849,0.604577807516115,0.5935379178680849
6985,149222,2023,4,13.75,-89.25,SLV,2957.993472,2712111.09067505,916.875279255197,13.5,-89.5,6.0,5501.251675531183,8.612912682992192,8.115399105471372,0.735927586297288,0.7440589021358148,0.735927586297288
6986,149223,2023,4,13.75,-88.75,SLV,3001.373696,597535.1933879557,199.08723601606312,13.5,-88.5,3.0,597.2617080481893,6.39402829709124,5.689692913613487,0.5278985457313573,0.5398471206095817,0.5278985457313573
6989,149221,2023,4,13.75,-89.75,SLV,2659.31648,1076974.3200180284,404.98162897032415,13.5,-89.5,6.0,2429.889773821945,7.796012631380268,7.218692362953895,0.6590258395230684,0.668876699796414,0.6590258395230684
6999,145631,2023,4,11.25,-84.75,NIC,2233.081088,77177.92527128101,34.56118350829946,11.5,-84.5,5.0,172.80591754149728,5.1579392602464775,4.353860968835522,0.41333733516008037,0.4260854726647652,0.41333733516008037
7000,145629,2023,4,11.25,-85.75,NIC,1669.268608,129896.42666312458,77.81637181732982,11.5,-85.5,4.0,311.2654872693193,5.743853746716675,4.985469867903282,0.467504238689866,0.48000925610493944,0.467504238689866
7001,146350,2023,4,11.75,-85.25,NIC,1541.930112,25904.26564660874,16.7998960815474,11.5,-85.5,4.0,67.1995843261896,4.222438469906936,3.3521443148017385,0.32742991770077284,0.3399880246731849,0.32742991770077284
7002,146349,2023,4,11.75,-85.75,NIC,993.76992,135170.24063491923,136.01764142239205,11.5,-85.5,4.0,544.0705656895682,6.300915264611132,5.588636794801242,0.5192319530869585,0.5312775987512574,0.5192319530869585
7003,146352,2023,4,11.75,-84.25,NIC,3026.070016,55432.07374344129,18.318172894331763,11.5,-84.5,5.0,91.59086447165882,4.528190480971709,3.6785516951093813,0.3554226788962375,0.3681274641507463,0.3554226788962375
7004,146353,2023,4,11.75,-83.75,NIC,1700.021632,18406.50323511194,10.827217071030741,11.5,-83.5,1.0,10.827217071030741,2.470403406954506,1.504725010090593,0.16899487442470135,0.1787420382777889,0.16899487442470135
7005,146351,2023,4,11.75,-84.75,NIC,3026.070016,49486.30243026838,16.353323673482503,11.5,-84.5,5.0,81.76661836741252,4.416024820286588,3.5586915568713953,0.3451434498439134,0.3578044615012527,0.3451434498439134
7006,147071,2023,4,12.25,-84.75,NIC,3020.435968,49055.17173540875,16.241089781449972,12.5,-84.5,5.0,81.20544890724986,4.40922158827452,3.551425931246967,0.3445203483599685,0.35717833598603954,0.3445203483599685
7007,147069,2023,4,12.25,-85.75,NIC,2739.9872,164954.0390855259,60.20248528369983,12.5,-85.5,4.0,240.80994113479932,5.488152050382718,4.7094572489985715,0.4438333421536046,0.4564761241944028,0.4438333421536046
7008,147073,2023,4,12.25,-83.75,NIC,1974.772352,34801.27571392112,17.62293039938262,12.5,-83.5,4.0,70.49172159753049,4.269581661144005,3.402405898494992,0.3317403610133751,0.3443267793782638,0.3317403610133751
7009,146348,2023,4,11.75,-86.25,NIC,2491.242496,619522.0077040142,248.67992927173245,11.5,-86.5,4.0,994.7197170869298,6.903465809434524,6.2437197684572965,0.5754119978748105,0.586732457508139,0.5754119978748105
7010,147067,2023,4,12.25,-86.75,NIC,2090.746112,251973.02247566107,120.51823080260311,12.5,-86.5,4.0,482.07292321041245,6.180167621987983,5.457687295762286,0.5080016982691651,0.5201647659367824,0.5080016982691651
7011,147068,2023,4,12.25,-86.25,NIC,2153.950464,1597085.4161599502,741.4680341320748,12.5,-86.5,4.0,2965.872136528299,7.995263524157714,7.437041154890746,0.6777514749062072,0.6872144645052557,0.6777514749062072
7012,147070,2023,4,12.25,-85.25,NIC,3020.435968,117879.6745299866,39.027370809665385,12.5,-85.5,4.0,156.10948323866154,5.056942907785117,4.2452993690175385,0.40402707098701485,0.4167904209735472,0.40402707098701485
7013,147072,2023,4,12.25,-84.25,NIC,3020.435968,54185.688562345065,17.939691202334757,12.5,-84.5,5.0,89.69845601167378,4.507540333951653,3.6564749875179383,0.3535293761069228,0.36622695805023037,0.3535293761069228
7014,147793,2023,4,12.75,-83.75,NIC,2528.714752,19722.517298017898,7.799423514423306,12.5,-83.5,4.0,31.197694057693223,3.471894836870904,2.555496562979632,0.2591092496673427,0.2709128383365944,0.2591092496673427
7015,147791,2023,4,12.75,-84.75,NIC,3014.586112,66191.40664294377,21.957046235786468,12.5,-84.5,5.0,109.78523117893234,4.707593472820021,3.870533901384212,0.3718871107021747,0.3846385563055565,0.3718871107021747
7016,147792,2023,4,12.75,-84.25,NIC,3014.586112,72565.75987683087,24.071549851560807,12.5,-84.5,5.0,120.35774925780403,4.798742788871297,3.968199369527647,0.38026292047769406,0.393027350392352,0.38026292047769406
7017,147790,2023,4,12.75,-85.25,NIC,3014.586112,97287.41777876104,32.27223047021091,12.5,-85.5,4.0,129.08892188084363,4.868218231092337,4.04269681840314,0.3866518363596742,0.3994214211778475,0.3866518363596742
7018,147789,2023,4,12.75,-85.75,NIC,3014.586112,312275.45090026245,103.58816742942072,12.5,-85.5,4.0,414.3526697176829,6.029127965898185,5.294046177114457,0.4939678037176696,0.5062640519351004,0.4939678037176696
7022,147788,2023,4,12.75,-86.25,NIC,3014.586112,210424.45910989205,69.80210592501132,12.5,-86.5,4.0,279.2084237000453,5.635533696620345,4.86847783745496,0.45747097912623197,0.4700401786055723,0.45747097912623197
7023,147787,2023,4,12.75,-86.75,NIC,3014.586112,163118.9608723041,54.109902590934546,12.5,-86.5,4.0,216.43961036373818,5.381921158475815,4.594954123134557,0.43401353153711486,0.446699319315666,0.43401353153711486
