,latbin,lonbin,ID,Severity,num_days,YEAR
0,-52.5,-70.5,4595,1.5,3,2018
1,-44.5,170.5,4504,1.5,4,2017
2,-43.5,171.5,9652,2.5,5,4039
3,-42.5,147.5,4614,1.0,3,2018
4,-42.5,171.5,4733,1.5,2,2019
5,-39.5,176.5,19733,5.0,10,8080
6,-39.5,177.5,4636,1.5,2,2018
7,-37.5,-72.5,5078,1.5,1,2021
8,-36.5,144.5,4549,1.0,4,2017
9,-35.5,-71.5,5021,1.5,5,2021
10,-35.5,-58.5,4607,1.5,60,2018
11,-34.5,-56.5,5150,1.5,2,2022
12,-33.5,-56.5,9523,2.0,6,4038
13,-33.5,-55.5,4812,1.0,6,2019
14,-33.5,20.5,5064,1.0,5,2021
15,-33.5,150.5,4707,1.5,1,2018
16,-32.5,-55.5,9447,2.5,16,4037
17,-32.5,27.5,5148,1.5,3,2022
18,-30.5,30.5,4732,1.0,3,2019
19,-30.5,150.5,5045,2.0,4,2021
20,-30.5,152.5,5035,1.5,4,2021
21,-29.5,30.5,4530,1.0,3,2017
22,-28.5,-49.5,5004,1.5,7,2020
23,-28.5,31.5,5146,1.5,4,2022
24,-27.5,-50.5,5047,1.0,1,2021
25,-27.5,27.5,4985,1.5,3,2020
26,-27.5,29.5,4741,1.5,1,2019
27,-27.5,148.5,4873,1.0,10,2020
28,-26.5,-60.5,4743,1.5,3,2019
29,-26.5,28.5,10005,3.0,10,4041
30,-26.5,151.5,4993,1.5,3,2020
31,-25.5,-64.5,4864,1.0,3,2020
32,-25.5,-57.5,9265,2.0,18,4036
33,-25.5,28.5,4588,1.5,2,2018
34,-24.5,-63.5,4569,1.5,20,2018
35,-24.5,-48.5,4591,1.0,2,2018
36,-24.5,29.5,5024,1.5,10,2021
37,-24.5,33.5,4573,1.0,2,2018
38,-23.5,-57.5,5018,1.5,9,2021
39,-23.5,-46.5,4731,1.0,4,2019
40,-23.5,30.5,5015,1.5,3,2021
41,-23.5,149.5,4535,1.0,2,2017
42,-22.5,-57.5,4736,1.0,18,2019
43,-22.5,-44.5,4576,1.5,2,2018
44,-22.5,-43.5,4740,1.0,3,2019
45,-22.5,17.5,5009,1.5,12,2021
46,-21.5,-69.5,4726,1.5,24,2019
47,-21.5,-43.5,10180,3.0,6,4043
48,-21.5,55.5,4561,1.0,3,2018
49,-21.5,165.5,4907,1.0,4,2020
50,-20.5,-44.5,4720,1.5,4,2019
51,-20.5,-43.5,5151,1.5,8,2022
52,-20.5,-40.5,5003,1.5,2,2020
53,-20.5,34.5,10027,2.0,19,4041
54,-20.5,47.5,4559,1.5,3,2018
55,-19.5,-45.5,4868,1.5,7,2020
56,-19.5,30.5,4724,1.5,6,2019
57,-19.5,46.5,5155,2.0,12,2022
58,-19.5,123.5,4574,1.0,3,2018
59,-18.5,27.5,9735,2.0,11,4040
60,-18.5,35.5,4872,1.5,5,2020
61,-18.5,47.5,10014,3.5,9,4042
62,-17.5,31.5,4973,1.0,3,2020
63,-17.5,35.5,4716,1.5,2,2019
64,-17.5,47.5,5031,1.5,4,2021
65,-17.5,145.5,4579,1.5,21,2018
66,-17.5,177.5,5022,1.5,3,2021
67,-16.5,36.5,4863,1.5,5,2020
68,-16.5,47.5,4590,1.5,7,2018
69,-16.5,144.5,4719,1.5,3,2019
70,-15.5,-64.5,4887,1.0,8,2020
71,-15.5,37.5,4745,1.5,7,2019
72,-15.5,47.5,4848,1.5,5,2019
73,-14.5,-71.5,4869,1.5,9,2020
74,-14.5,-64.5,4577,1.5,11,2018
75,-14.5,34.5,9310,3.0,55,4037
76,-14.5,35.5,5149,1.0,4,2022
77,-14.5,38.5,9529,3.0,61,4038
78,-14.5,48.5,4877,1.5,4,2020
79,-14.5,132.5,5034,1.0,6,2021
80,-13.5,31.5,4842,1.5,14,2020
81,-13.5,33.5,4841,1.5,14,2020
82,-13.5,34.5,4553,1.0,3,2017
83,-12.5,-70.5,5043,1.5,6,2021
84,-12.5,-39.5,9980,3.0,12,4040
85,-12.5,38.5,4842,1.5,13,2020
86,-11.5,-67.5,10176,2.0,20,4042
87,-11.5,16.5,4586,1.5,13,2018
88,-11.5,34.5,4599,1.5,6,2018
89,-10.5,15.5,4880,1.5,9,2020
90,-10.5,29.5,4882,1.5,13,2020
91,-10.5,30.5,4895,1.5,51,2020
92,-10.5,33.5,4570,1.0,13,2018
93,-9.5,-75.5,9695,2.5,15,4039
94,-9.5,13.5,10105,3.0,14,4042
95,-9.5,14.5,4906,1.5,6,2020
96,-9.5,124.5,5052,2.0,7,2021
97,-8.5,-70.5,5030,1.5,4,2021
98,-8.5,-36.5,4783,1.5,10,2019
99,-8.5,14.5,4838,1.0,2,2020
100,-8.5,118.5,4584,1.5,1,2018
101,-7.5,-76.5,4898,1.5,5,2020
102,-7.5,-38.5,4977,1.5,2,2020
103,-7.5,35.5,4875,2.0,16,2020
104,-7.5,36.5,4843,1.5,4,2019
105,-7.5,39.5,4598,1.0,3,2018
106,-7.5,108.5,5072,1.5,4,2021
107,-7.5,109.5,14601,4.0,14,6059
108,-7.5,111.5,4544,1.0,2,2017
109,-6.5,-75.5,4735,1.0,4,2019
110,-6.5,107.5,29583,9.5,34,12122
111,-6.5,110.5,5033,1.5,6,2021
112,-6.5,146.5,4892,1.0,2,2020
113,-5.5,-79.5,5042,1.5,3,2021
114,-5.5,-76.5,4853,1.0,16,2019
115,-5.5,36.5,4814,1.5,55,2019
116,-4.5,-66.5,5073,1.5,27,2021
117,-4.5,15.5,9558,3.0,11,4038
118,-4.5,29.5,4602,1.0,3,2018
119,-4.5,34.5,4900,1.5,3,2020
120,-4.5,105.5,4715,2.0,1,2018
121,-3.5,-74.5,5054,1.0,14,2021
122,-3.5,17.5,4916,1.5,4,2020
123,-3.5,26.5,4896,2.0,17,2020
124,-3.5,28.5,4998,1.5,5,2020
125,-3.5,29.5,24037,7.0,54,10097
126,-3.5,30.5,14753,4.5,13,6060
127,-3.5,121.5,4946,1.5,7,2020
128,-2.5,-78.5,4997,1.0,4,2020
129,-2.5,-77.5,4918,1.0,3,2020
130,-2.5,-62.5,5077,1.5,18,2021
131,-2.5,27.5,4988,1.0,8,2020
132,-2.5,29.5,14597,4.5,13,6058
133,-2.5,101.5,4904,1.0,4,2020
134,-2.5,103.5,4986,1.5,4,2020
135,-1.5,-77.5,9428,2.0,15,4037
136,-1.5,-76.5,4815,1.0,17,2019
137,-1.5,18.5,4846,2.0,69,2020
138,-1.5,29.5,9940,2.5,4,4041
139,-1.5,30.5,4603,1.5,2,2018
140,-1.5,102.5,4708,1.0,5,2018
