,latbin,lonbin,ID,Severity,num_days,YEAR
141,-1.5,120.5,9568,3.0,11,4038
142,-0.5,31.5,5063,1.0,5,2021
143,-0.5,35.5,5058,1.5,31,2021
144,-0.5,99.5,4700,1.0,6,2018
145,-0.5,110.5,5154,1.0,6,2022
146,-0.5,116.5,4926,1.5,8,2020
147,0.5,-73.5,4760,1.0,2,2019
148,0.5,15.5,5144,1.5,18,2021
149,0.5,30.5,9931,2.0,6,4040
150,0.5,31.5,4925,1.5,4,2020
151,0.5,39.5,4818,1.5,57,2019
152,1.5,-77.5,4857,1.0,6,2019
153,1.5,-73.5,5051,1.0,5,2021
154,1.5,15.5,4971,1.5,69,2020
155,1.5,30.5,4976,1.0,45,2020
156,1.5,31.5,4852,1.5,3,2019
157,1.5,34.5,9308,2.0,6,4036
158,1.5,36.5,4897,1.5,31,2020
159,1.5,38.5,4605,1.5,17,2018
160,1.5,42.5,9436,2.5,55,4037
161,1.5,99.5,4972,1.0,5,2020
162,1.5,100.5,4860,1.5,2,2019
163,1.5,125.5,4858,1.0,4,2020
164,2.5,-77.5,5060,1.5,9,2021
165,2.5,-68.5,4662,1.5,40,2018
166,2.5,23.5,4825,1.5,35,2019
167,2.5,32.5,4847,1.5,7,2019
168,2.5,33.5,9341,2.5,23,4036
169,2.5,37.5,4955,1.5,7,2020
170,2.5,43.5,4981,1.5,42,2020
171,2.5,45.5,5065,1.5,25,2021
172,2.5,98.5,5138,1.0,8,2021
173,2.5,103.5,4935,1.5,5,2020
174,3.5,-75.5,4945,1.5,13,2020
175,3.5,-74.5,4537,1.5,3,2017
176,3.5,-73.5,4855,1.5,2,2019
177,3.5,-72.5,10218,2.0,8,4042
178,3.5,39.5,4806,1.0,10,2019
179,3.5,102.5,4558,1.5,4,2018
180,3.5,113.5,4567,1.0,9,2018
181,4.5,17.5,4924,1.0,6,2020
182,4.5,45.5,10220,3.0,12,4042
183,4.5,97.5,10186,2.0,4,4042
184,4.5,102.5,9845,3.0,17,4040
185,5.5,-74.5,4738,1.0,19,2019
186,5.5,-58.5,10174,2.0,68,4042
187,5.5,-4.5,9733,2.5,10,4039
188,5.5,-2.5,4631,1.0,1,2018
189,5.5,0.5,4819,1.0,5,2019
190,5.5,101.5,9541,3.5,16,4037
191,5.5,102.5,4545,1.0,4,2017
192,5.5,117.5,5011,1.5,2,2021
193,6.5,-76.5,9979,3.0,10,4041
194,6.5,-72.5,4878,1.0,2,2020
195,6.5,-10.5,4648,1.0,5,2018
196,6.5,-4.5,4650,1.5,4,2018
197,6.5,-1.5,4638,1.5,4,2018
198,6.5,4.5,4649,2.0,4,2018
199,6.5,30.5,4813,1.5,6,2019
200,6.5,47.5,4911,1.5,8,2020
201,6.5,80.5,9300,2.5,4,4036
202,7.5,-76.5,9938,2.5,3,4041
203,7.5,-75.5,4821,1.5,9,2019
204,7.5,-67.5,4495,1.5,17,2017
205,7.5,2.5,10230,2.0,10,4042
206,7.5,6.5,9772,3.0,60,4039
207,7.5,7.5,4820,2.0,35,2019
208,7.5,17.5,4792,1.0,3,2019
209,7.5,37.5,5068,1.5,14,2021
210,7.5,48.5,4851,1.5,4,2019
211,7.5,80.5,23658,7.0,21,10092
212,7.5,100.5,4712,1.5,3,2019
213,7.5,125.5,9774,3.0,4,4040
214,8.5,-82.5,10208,3.0,12,4042
215,8.5,-74.5,4987,1.5,10,2020
216,8.5,-70.5,5057,1.5,10,2021
217,8.5,-12.5,4506,1.5,1,2017
218,8.5,1.5,4817,1.5,14,2019
219,8.5,9.5,4517,1.0,18,2017
220,8.5,46.5,4992,1.5,1,2020
221,8.5,80.5,4539,1.0,10,2017
222,8.5,100.5,4546,1.0,22,2017
223,8.5,123.5,4765,1.5,20,2019
224,8.5,124.5,5079,1.5,2,2021
225,8.5,125.5,9107,3.5,8,4034
226,9.5,-84.5,10206,3.0,12,4042
227,9.5,-75.5,10240,2.0,42,4042
228,9.5,-74.5,4978,1.5,20,2020
229,9.5,-72.5,4809,1.5,10,2019
230,9.5,-70.5,4990,1.5,13,2020
231,9.5,-1.5,4683,1.5,31,2018
232,9.5,0.5,4968,1.5,36,2020
233,9.5,12.5,4782,1.5,8,2019
234,9.5,18.5,4912,1.0,6,2020
235,9.5,29.5,4511,1.0,4,2017
236,9.5,31.5,5136,2.0,157,2021
237,9.5,76.5,4663,1.5,3,2018
238,9.5,77.5,5017,1.5,12,2021
239,9.5,99.5,5005,1.5,5,2020
240,9.5,125.5,5029,1.5,1,2021
241,10.5,-66.5,4677,1.0,3,2018
242,10.5,7.5,9452,3.0,29,4037
243,10.5,8.5,4667,2.0,43,2018
244,10.5,14.5,4954,2.0,17,2020
245,10.5,27.5,4639,1.0,9,2018
246,10.5,31.5,4958,2.0,30,2020
247,10.5,46.5,4624,1.5,2,2018
248,10.5,78.5,4832,1.5,6,2019
249,10.5,79.5,4532,1.5,9,2017
250,10.5,99.5,4996,1.5,30,2020
251,10.5,123.5,4527,1.0,2,2017
252,11.5,-72.5,4691,1.0,16,2018
253,11.5,15.5,4975,1.0,81,2020
254,11.5,18.5,10248,3.0,166,4042
255,11.5,42.5,4901,2.0,5,2020
256,11.5,76.5,4784,1.5,3,2019
257,11.5,104.5,4652,1.5,6,2018
258,11.5,107.5,4704,1.0,5,2018
259,11.5,108.5,4541,1.0,5,2017
260,11.5,124.5,4713,1.5,9,2019
261,11.5,125.5,5142,2.0,3,2021
262,12.5,9.5,15008,3.5,27,6061
263,12.5,14.5,4801,1.0,14,2019
264,12.5,30.5,10232,3.0,104,4042
265,12.5,75.5,4656,1.5,10,2018
266,12.5,108.5,4533,2.0,4,2017
267,12.5,124.5,5026,1.5,6,2021
268,13.5,-1.5,4902,1.5,7,2020
269,13.5,3.5,10224,3.0,36,4042
270,13.5,31.5,4668,1.5,34,2018
271,13.5,44.5,4908,1.5,2,2020
272,14.5,-87.5,4531,1.5,12,2017
273,14.5,-86.5,4922,1.0,8,2020
274,14.5,-85.5,4989,2.0,5,2020
275,14.5,4.5,4519,1.0,20,2017
276,14.5,25.5,4807,1.0,3,2019
277,14.5,33.5,4786,1.5,22,2019
278,14.5,75.5,4622,1.5,1,2018
279,14.5,76.5,10210,3.0,16,4042
280,14.5,100.5,4529,1.5,24,2017
281,14.5,105.5,4795,1.5,9,2019
282,14.5,108.5,5133,1.5,7,2021
283,14.5,121.5,4827,1.5,5,2019
284,15.5,-90.5,9399,2.0,9,4037
285,15.5,-87.5,4803,1.5,4,2019
286,15.5,-86.5,5153,1.0,3,2022
287,15.5,-15.5,4808,1.0,10,2019
288,15.5,-12.5,4787,1.0,4,2019
289,15.5,1.5,4947,1.5,29,2020
290,15.5,43.5,4778,1.5,10,2019
291,15.5,80.5,5137,1.5,8,2021
292,15.5,107.5,9624,4.0,22,4038
293,15.5,108.5,4518,2.0,4,2017
294,15.5,121.5,4979,1.5,9,2020
295,16.5,-96.5,4810,1.5,8,2019
296,16.5,-89.5,4970,1.5,5,2020
297,16.5,-0.5,4959,1.5,38,2020
298,16.5,49.5,5062,1.0,3,2021
299,16.5,106.5,4980,2.0,7,2020
300,16.5,121.5,9837,3.5,10,4039
301,17.5,-96.5,10172,3.0,6,4042
302,17.5,-89.5,4928,1.5,1,2020
303,17.5,79.5,4969,1.5,9,2020
304,17.5,83.5,4686,1.5,1,2018
305,17.5,96.5,4781,1.5,25,2019
306,17.5,101.5,10254,3.0,10,4042
307,17.5,106.5,9614,2.5,10,4038
308,18.5,-73.5,10228,3.0,2,4042
309,18.5,-72.5,5050,1.5,5,2021
310,18.5,-70.5,4956,2.0,4,2020
311,18.5,45.5,4750,1.0,5,2019
312,18.5,54.5,9617,3.0,7,4038
313,18.5,73.5,5076,1.5,7,2021
314,18.5,95.5,4666,1.5,26,2018
315,19.5,-155.5,9707,4.0,11,4039
316,19.5,-100.5,10258,3.0,16,4042
317,19.5,-70.5,9555,3.5,13,4038
318,19.5,-69.5,4647,1.0,2,2018
319,19.5,36.5,4702,1.0,6,2018
320,19.5,57.5,4802,1.5,5,2019
321,19.5,74.5,4644,1.5,5,2018
322,19.5,83.5,4785,1.5,4,2019
323,19.5,84.5,10242,3.0,14,4042
324,20.5,-103.5,4758,1.5,4,2019
325,20.5,73.5,4641,1.0,10,2018
326,20.5,74.5,4775,1.5,4,2019
327,20.5,75.5,4927,1.5,1,2020
328,20.5,105.5,4888,1.0,8,2020
329,21.5,-99.5,4505,1.0,1,2017
330,21.5,-77.5,4523,2.0,18,2017
331,21.5,70.5,4498,1.0,5,2017
332,21.5,85.5,9996,3.5,4,4041
333,21.5,87.5,4746,1.5,4,2019
334,21.5,92.5,10212,3.0,6,4042
335,21.5,93.5,4632,1.5,5,2018
336,21.5,105.5,9153,2.5,14,4035
337,22.5,-159.5,4601,1.0,3,2018
338,22.5,6.5,4660,1.5,7,2018
339,22.5,39.5,4542,1.0,1,2017
340,22.5,87.5,10244,3.0,12,4042
341,22.5,88.5,4499,1.0,14,2017
342,22.5,98.5,4496,1.0,9,2017
343,22.5,113.5,4739,1.0,9,2019
344,22.5,114.5,4515,2.0,3,2017
345,23.5,-105.5,4695,1.5,4,2018
346,23.5,-98.5,4525,1.5,11,2017
347,23.5,87.5,10260,3.0,16,4042
348,23.5,91.5,4752,1.5,3,2019
349,23.5,92.5,4617,1.5,2,2018
350,23.5,96.5,4949,1.0,15,2020
351,23.5,97.5,10200,3.0,8,4042
352,23.5,108.5,4613,1.5,2,2018
353,24.5,12.5,4757,1.5,7,2019
354,24.5,55.5,4554,1.0,1,2017
355,24.5,77.5,9760,3.0,13,4039
356,24.5,89.5,4939,1.5,30,2020
357,24.5,90.5,4508,1.5,16,2017
358,24.5,101.5,4937,1.5,4,2020
359,24.5,111.5,4755,1.5,3,2019
360,24.5,115.5,4635,1.5,8,2018
361,25.5,66.5,10246,3.0,2,4042
362,25.5,74.5,4798,1.5,9,2019
363,25.5,82.5,4673,1.5,6,2018
364,25.5,86.5,10216,3.0,20,4042
365,25.5,89.5,4769,1.0,3,2019
366,26.5,-100.5,4951,1.5,4,2020
367,26.5,-78.5,4790,2.0,3,2019
368,26.5,41.5,4717,1.0,3,2019
369,26.5,68.5,4953,1.5,3,2020
370,26.5,93.5,4634,1.5,8,2018
371,26.5,94.5,4675,1.5,23,2018
372,27.5,-98.5,4696,1.0,3,2018
373,27.5,80.5,10026,2.5,12,4041
374,27.5,82.5,10252,3.0,22,4042
375,27.5,83.5,4509,1.5,15,2017
376,27.5,84.5,4768,1.5,2,2019
377,27.5,94.5,29360,8.5,55,12118
378,27.5,95.5,9883,2.0,43,4040
379,27.5,116.5,10178,3.0,12,4042
380,28.5,-107.5,4834,1.0,7,2019
381,28.5,-100.5,4671,1.0,4,2018
382,28.5,-81.5,4516,2.0,11,2017
383,28.5,-9.5,4788,1.0,8,2019
384,28.5,79.5,4507,2.0,16,2017
385,28.5,84.5,14826,4.0,16,6060
386,28.5,86.5,10176,3.0,74,4042
387,28.5,105.5,4930,1.5,20,2020
388,29.5,-95.5,4797,2.0,3,2019
389,29.5,30.5,4881,1.0,3,2020
390,29.5,78.5,5135,1.5,8,2021
391,29.5,113.5,4526,1.5,13,2017
392,29.5,114.5,4774,1.0,12,2019
393,30.5,-98.5,4693,1.5,2,2018
394,30.5,-96.5,4748,1.5,8,2019
395,30.5,-95.5,4510,2.0,1,2017
396,30.5,-91.5,15007,4.5,4,6061
397,30.5,61.5,4734,1.5,16,2019
398,30.5,80.5,5023,2.0,1,2021
399,31.5,-111.5,10196,3.0,12,4042
400,31.5,-93.5,5074,2.0,12,2021
401,31.5,-91.5,4524,1.5,1,2017
402,31.5,-88.5,4876,2.0,7,2020
403,31.5,12.5,4917,1.0,2,2020
404,31.5,34.5,4608,1.5,3,2018
405,31.5,67.5,4729,1.5,4,2019
406,31.5,76.5,4684,1.0,9,2018
407,31.5,112.5,4938,2.0,33,2020
408,32.5,-86.5,15220,5.0,9,6062
409,32.5,-16.5,5000,1.0,2,2020
410,32.5,35.5,14274,4.0,11,6057
411,32.5,56.5,5066,1.5,4,2021
412,32.5,130.5,19787,6.5,23,8080
413,32.5,131.5,4942,2.0,6,2020
414,33.5,-118.5,4560,2.0,2,2018
415,33.5,-87.5,10250,2.0,4,4042
416,33.5,-84.5,5081,1.5,2,2021
417,33.5,-82.5,4687,1.5,2,2018
418,33.5,3.5,4604,1.5,4,2018
419,33.5,45.5,4705,1.5,5,2018
420,33.5,47.5,4883,1.5,15,2020
421,33.5,54.5,4909,1.5,6,2020
422,33.5,65.5,4894,1.5,13,2020
423,33.5,71.5,4879,1.5,11,2020
424,33.5,72.5,4645,1.0,8,2018
425,33.5,74.5,10202,3.0,4,4042
426,33.5,75.5,4640,1.0,16,2018
427,33.5,104.5,4655,1.5,7,2018
428,34.5,-111.5,4493,2.0,1,2017
429,34.5,-84.5,4625,1.5,4,2018
430,34.5,-4.5,5040,1.5,22,2021
431,34.5,52.5,4627,1.5,2,2018
432,34.5,65.5,5061,1.5,3,2021
433,34.5,67.5,9705,3.5,6,4039
434,34.5,68.5,4621,1.5,13,2018
435,34.5,73.5,10198,3.0,2,4042
436,34.5,113.5,10192,4.0,18,4042
437,34.5,127.5,10184,3.0,4,4042
438,35.5,-120.5,4711,1.5,5,2018
439,35.5,-86.5,15088,5.5,7,6061
440,35.5,-84.5,4678,1.5,2,2018
441,35.5,-79.5,4991,2.0,10,2020
442,35.5,-78.5,4676,2.0,17,2018
443,35.5,1.5,5039,1.5,1,2021
444,35.5,5.5,5070,1.0,4,2021
445,35.5,9.5,4692,1.5,4,2018
446,35.5,14.5,4568,1.5,1,2018
447,35.5,24.5,9705,2.5,8,4039
448,35.5,52.5,4690,1.0,1,2018
449,35.5,54.5,4816,1.5,12,2019
450,35.5,70.5,10194,4.0,2,4042
451,35.5,74.5,4501,1.5,7,2017
452,35.5,109.5,5132,2.0,9,2021
453,35.5,137.5,4643,2.0,6,2018
454,36.5,-110.5,10204,4.0,12,4042
455,36.5,-95.5,4751,2.0,7,2019
456,36.5,-84.5,5044,1.5,2,2021
457,36.5,-5.5,10238,2.0,2,4042
458,36.5,5.5,5001,1.0,3,2020
459,36.5,7.5,4791,1.0,1,2019
460,36.5,32.5,4837,1.0,5,2020
461,36.5,44.5,5143,1.5,3,2021
462,36.5,73.5,4773,2.0,6,2019
463,36.5,127.5,4948,1.5,1,2020
464,36.5,128.5,4811,1.5,5,2019
465,36.5,138.5,4800,2.0,3,2019
466,36.5,140.5,4823,1.5,6,2019
467,37.5,-121.5,4589,1.5,3,2018
468,37.5,-84.5,4571,1.0,2,2018
469,37.5,-77.5,4618,1.5,12,2018
470,37.5,-4.5,5038,1.5,3,2021
471,37.5,13.5,4944,1.5,3,2020
472,37.5,14.5,4701,1.5,4,2018
473,37.5,24.5,4681,1.0,2,2018
474,37.5,69.5,4754,1.5,6,2019
475,37.5,139.5,4520,1.5,2,2017
476,38.5,-122.5,4727,1.5,7,2019
477,38.5,-121.5,5134,2.0,2,2021
478,38.5,-96.5,4672,1.5,6,2018
479,38.5,-90.5,4747,1.5,41,2019
480,38.5,-88.5,4594,1.5,5,2018
481,38.5,-84.5,4494,1.5,1,2017
482,38.5,-79.5,4630,1.5,2,2018
483,38.5,-1.5,9494,3.0,6,4037
484,38.5,16.5,4984,1.5,3,2020
485,38.5,23.5,4540,1.0,1,2017
486,38.5,27.5,4994,1.0,2,2020
487,38.5,126.5,4674,1.5,13,2018
488,38.5,140.5,4950,1.5,3,2020
489,39.5,-94.5,4514,1.5,4,2017
490,39.5,-86.5,5082,1.5,2,2021
491,39.5,-83.5,4899,1.5,12,2020
492,39.5,-76.5,9396,3.5,3,4037
493,39.5,-0.5,9371,2.5,7,4037
494,39.5,2.5,4688,1.5,2,2018
495,39.5,22.5,4583,1.0,4,2018
496,39.5,27.5,5019,1.0,2,2021
497,39.5,140.5,4497,1.5,10,2017
498,40.5,-94.5,4730,2.0,20,2019
499,40.5,-76.5,4669,1.5,1,2018
500,40.5,-0.5,4891,1.5,1,2020
501,40.5,0.5,4862,2.0,7,2020
502,40.5,19.5,4580,1.0,7,2018
503,40.5,25.5,4528,1.5,1,2017
504,40.5,29.5,4933,1.0,2,2020
505,40.5,35.5,4616,1.5,16,2018
506,40.5,40.5,4664,1.5,3,2018
507,40.5,41.5,4764,1.5,2,2019
508,41.5,-93.5,4637,1.5,12,2018
509,41.5,-86.5,4575,1.5,2,2018
510,41.5,-73.5,4679,1.5,4,2018
511,41.5,26.5,4597,1.5,14,2018
512,41.5,30.5,10226,4.0,12,4042
513,41.5,55.5,4913,2.0,10,2020
514,42.5,-71.5,4651,1.5,2,2018
515,42.5,-0.5,4600,1.5,5,2018
516,42.5,19.5,5025,1.0,13,2021
517,42.5,23.5,4642,1.5,4,2018
518,42.5,26.5,4536,1.0,2,2017
519,43.5,-84.5,4915,2.0,2,2020
520,43.5,-78.5,4661,1.0,2,2018
521,43.5,-6.5,4721,1.0,3,2019
522,43.5,10.5,4521,1.5,4,2017
523,43.5,12.5,4749,1.0,2,2019
524,44.5,-123.5,5014,1.0,2,2021
525,44.5,5.5,4659,1.5,1,2018
526,44.5,9.5,10262,3.0,4,4042
527,44.5,15.5,9070,3.0,7,4034
528,44.5,16.5,4581,1.0,4,2018
529,44.5,19.5,4759,1.0,4,2019
530,44.5,20.5,5013,1.0,4,2021
531,44.5,37.5,10188,3.0,4,4042
532,44.5,45.5,4615,1.5,2,2018
533,44.5,134.5,4793,1.0,5,2019
534,45.5,10.5,9331,2.5,4,4036
535,45.5,12.5,4699,1.0,9,2018
536,45.5,24.5,4587,1.0,2,2018
537,45.5,26.5,4756,1.0,10,2019
538,45.5,36.5,10170,3.0,12,4042
539,45.5,39.5,4697,1.5,4,2018
540,46.5,-112.5,4610,1.0,7,2018
541,46.5,-88.5,4633,1.0,3,2018
542,46.5,-72.5,4744,1.5,4,2019
543,46.5,1.5,5020,1.0,3,2021
544,46.5,7.5,4761,1.0,3,2019
545,46.5,106.5,4934,1.5,4,2020
546,47.5,-122.5,5141,2.0,5,2021
547,47.5,12.5,4824,1.0,4,2019
548,47.5,20.5,4762,1.0,5,2019
549,47.5,23.5,5067,1.5,2,2021
550,47.5,81.5,4578,1.0,5,2018
551,47.5,91.5,4654,1.0,8,2018
552,47.5,111.5,4766,1.0,4,2019
553,47.5,136.5,4502,1.5,3,2017
554,48.5,-3.5,4628,1.0,1,2018
555,48.5,1.5,4566,1.5,5,2018
556,48.5,18.5,4657,1.5,2,2018
557,48.5,135.5,5069,1.5,4,2021
558,49.5,-1.5,4557,1.5,2,2018
559,49.5,23.5,4941,1.5,13,2020
560,49.5,30.5,4932,1.5,4,2020
561,50.5,-119.5,4612,1.0,4,2018
562,50.5,-99.5,4936,1.5,4,2020
563,50.5,5.5,4609,1.5,1,2018
564,51.5,-2.5,4826,1.0,12,2019
565,51.5,-1.5,4871,1.5,1,2020
566,51.5,6.5,10190,4.0,10,4042
567,51.5,22.5,9703,2.0,10,4039
568,52.5,-3.5,9571,2.5,5,4038
569,52.5,-1.5,4999,1.5,6,2020
570,52.5,9.5,4503,1.5,4,2017
571,52.5,84.5,4596,1.0,5,2018
572,53.5,-107.5,4910,1.0,2,2020
573,53.5,-6.5,4543,1.0,4,2017
574,54.5,-7.5,4513,1.5,4,2017
575,54.5,-1.5,4547,1.5,3,2017
576,56.5,85.5,5071,1.5,4,2021
577,58.5,102.5,4777,1.5,15,2019
