,index,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,ID,Severity,num_days,YEAR,num_days_multiply_pop_density,num_days_multiply_pop_density_log,boxcoxb,boxcoxb_log,num_days_multiply_pop_density_log_minmax,boxcoxb_log_minmax
50,50,53499,2023,4,-52.75,-70.75,CHL,1253.627776,7373.712589259977,5.881899500334601,-52.5,-70.5,4595.0,1.5,3.0,2018.0,17.645698501003803,2.925615476109738,1.9805046268953888,0.21093223075535736,0.22188805195729389,0.21093223075535736
352,352,88101,2023,4,-28.75,-49.75,BRA,2710.031872,64915.13953435214,23.953644311365554,-28.5,-49.5,5004.0,1.5,7.0,2020.0,167.67551017955887,5.12797681113947,4.322114731818432,0.4118042315592524,0.42463464724391053,0.4118042315592524
353,353,88102,2023,4,-28.75,-49.25,BRA,1964.441728,499190.87432262587,254.11335302414523,-28.5,-49.5,5004.0,1.5,7.0,2020.0,1778.7934711690166,7.484252609121291,6.8785107843191735,0.6311013676765735,0.6415504130624294,0.6311013676765735
355,355,88822,2023,4,-28.25,-49.25,BRA,2722.914048,198230.9855023604,72.80104403147153,-28.5,-49.5,5004.0,1.5,7.0,2020.0,509.60730822030075,6.235600817709851,5.518478035754662,0.5144327135788613,0.5266011105203984,0.5144327135788613
372,372,89539,2023,4,-27.75,-50.75,BRA,2735.591936,20857.794661043503,7.624600141036351,-27.5,-50.5,5047.0,1.0,1.0,2021.0,7.624600141036351,2.1546186013831905,1.1770573950342518,0.14200954688711293,0.15091105611146038,0.14200954688711293
373,373,89540,2023,4,-27.75,-50.25,BRA,2735.591936,182032.03969733237,66.54210275363685,-27.5,-50.5,5047.0,1.0,1.0,2021.0,66.54210275363685,4.212751147929061,3.342131728342347,0.32773765435744234,0.34038013179114035,0.32773765435744234
375,375,90260,2023,4,-27.25,-50.25,BRA,2748.047872,34615.14755258356,12.59626802912681,-27.5,-50.5,5047.0,1.0,1.0,2021.0,12.59626802912681,2.6097953454617677,1.6500891215758289,0.182587963060821,0.19281405070536672,0.182587963060821
377,377,88821,2023,4,-28.25,-49.75,BRA,2722.914048,35110.20514437654,12.8943494085556,-28.5,-49.5,5004.0,1.5,7.0,2020.0,90.2604458598892,4.513717461087686,3.663440402016451,0.3553007042524137,0.3680867094168564,0.3553007042524137
396,396,90259,2023,4,-27.25,-50.75,BRA,2748.047872,93151.96901323451,33.8975059213359,-27.5,-50.5,5047.0,1.0,1.0,2021.0,33.8975059213359,3.5524153630827016,2.6408376055676155,0.2675780431149027,0.27959045573114555,0.2675780431149027
431,431,93864,2023,4,-24.75,-48.25,BRA,2807.130112,60325.630914009904,21.49014420675699,-24.5,-48.5,4591.0,1.0,2.0,2018.0,42.98028841351398,3.7837415429385364,2.8859038177080127,0.2886007318445839,0.30088605088188264,0.2886007318445839
