,pgid,lat,lon,count_fire,wp_pop_density,wp_pop_density_log,wp_pop_density_log_minmax,count_fire_multiply_pop_density,boxcoxb,boxcoxb_log,boxcoxb_log_minmax
0,51345.0,-54.25,-67.75,50,0.52780459361366,0.4238317988058097,0.04397325233172771,2.1986626165863856,0.8307865516174666,0.4280330870708221,0.4280330870708221
3,53500.0,-52.75,-70.25,16,0.1223621320595656,0.11543551087235614,0.01197662577922276,0.19162601246756417,-1.4826374636933797,0.2991433407511901,0.2991433407511901
8,54963.0,-51.75,-58.75,1,0.05539509406225091,0.05391519356309777,0.005593790786213047,0.005593790786213047,-3.741960329449795,0.1732677774760502,0.1732677774760502
16,59262.0,-48.75,-69.25,2,0.1319847385306584,0.12397249782673418,0.012862352339984033,0.025724704679968066,-2.895280264828591,0.2204395791089011,0.2204395791089011
18,59980.0,-48.25,-70.25,2,0.08598043895395421,0.08248320933659196,0.00855776982167993,0.01711553964335986,-3.1385261133996,0.20688741767713334,0.20688741767713334
20,59982.0,-48.25,-69.25,1,0.18013528678011997,0.16562908171944685,0.017184292033874997,0.017184292033874997,-3.1361967967135516,0.20701719286524237,0.20701719286524237
21,60702.0,-47.75,-69.25,1,0.10293518230006495,0.09797497363082794,0.010165066070553907,0.010165066070553907,-3.430892398123396,0.19059856789383928,0.19059856789383928
26,62145.0,-46.75,-67.75,19,23.224758368937742,3.18737518327663,0.33069546363680935,6.283213809099378,2.083060349823874,0.49780207498887075,0.49780207498887075
27,62146.0,-46.75,-67.25,2,0.7107567782642455,0.536935833002051,0.05570798353750601,0.11141596707501202,-1.902172369352233,0.2757694381701128,0.2757694381701128
31,62865.0,-46.25,-67.75,1,26.639714049753955,3.3192536533233037,0.34437807371190093,0.34437807371190093,-0.9936141207622543,0.3263887113350612,0.3263887113350612
39,64057.0,-45.75,168.25,1,1.557912537800975,0.9391915109383958,0.09744267753074637,0.09744267753074637,-2.0012496512913196,0.27024946187063115,0.27024946187063115
40,64058.0,-45.75,168.75,2,1.3963559720816079,0.873949238534072,0.09067368352129708,0.18134736704259416,-1.526690803455725,0.2966889598210525,0.2966889598210525
42,64060.0,-45.75,169.75,1,0.5317016597492148,0.4263793132871932,0.04423756118591054,0.04423756118591054,-2.550430546607848,0.23965248275548834,0.23965248275548834
45,64297.0,-45.25,-71.75,1,2.775296793083197,1.3284790002948346,0.1378319004424955,0.1378319004424955,-1.7411776509658496,0.2847390729081845,0.2847390729081845
48,64777.0,-45.25,168.25,1,0.07709366791197576,0.07426636552709243,0.00770525864336915,0.00770525864336915,-3.5782672287513493,0.18238774946720365,0.18238774946720365
58,65501.0,-44.75,170.25,1,0.43559210442079455,0.3615773804299903,0.03751425313506969,0.03751425313506969,-2.6579492654321806,0.2336622015523177,0.2336622015523177
59,65502.0,-44.75,170.75,1,1.1969486904439632,0.787069438757413,0.0816597601468043,0.0816597601468043,-2.1292133409528353,0.26312011273729435,0.26312011273729435
64,66221.0,-44.25,170.25,9,1.1046772878908935,0.7441621479663092,0.07720805753707986,0.6948725178337187,-0.35532042263679187,0.3619505073068889,0.3619505073068889
67,66457.0,-43.75,-71.75,1,0.6741997874481239,0.5153353122865321,0.05346689367450725,0.05346689367450725,-2.423884911684773,0.24670282660734824,0.24670282660734824
